"TIME_PERIOD";"GEO";"AGE";"SEX";"OBS_STATUS";"OBS_VALUE"
"2021-W09";"CH064";"Y_GE90";"T";"P";3
"2021-W09";"CH064";"Y_GE90";"F";"P";2
"2021-W09";"CH064";"Y_GE90";"M";"P";1
"2021-W09";"CH065";"_T";"T";"P";3
"2021-W09";"CH065";"_T";"F";"P";1
"2021-W09";"CH065";"_T";"M";"P";2
"2021-W09";"CH065";"Y50T54";"T";"P";1
"2021-W09";"CH065";"Y50T54";"M";"P";1
"2021-W09";"CH065";"Y65T69";"T";"P";1
"2021-W09";"CH065";"Y65T69";"M";"P";1
"2021-W09";"CH065";"Y85T89";"T";"P";1
"2021-W09";"CH065";"Y85T89";"F";"P";1
"2021-W09";"CH066";"_T";"T";"P";14
"2021-W09";"CH066";"_T";"F";"P";8
"2021-W09";"CH066";"_T";"M";"P";6
"2021-W09";"CH066";"Y50T54";"T";"P";1
"2021-W09";"CH066";"Y50T54";"M";"P";1
"2021-W09";"CH066";"Y65T69";"T";"P";1
"2021-W09";"CH066";"Y65T69";"M";"P";1
"2021-W09";"CH066";"Y75T79";"T";"P";1
"2021-W09";"CH066";"Y75T79";"M";"P";1
"2021-W09";"CH066";"Y80T84";"T";"P";3
"2021-W09";"CH066";"Y80T84";"F";"P";1
"2021-W09";"CH066";"Y80T84";"M";"P";2
"2021-W09";"CH066";"Y85T89";"T";"P";6
"2021-W09";"CH066";"Y85T89";"F";"P";5
"2021-W09";"CH066";"Y85T89";"M";"P";1
"2021-W09";"CH066";"Y_GE90";"T";"P";2
"2021-W09";"CH066";"Y_GE90";"F";"P";2
"2021-W09";"CH070";"_T";"T";"P";52
"2021-W09";"CH070";"_T";"F";"P";26
"2021-W09";"CH070";"_T";"M";"P";26
"2021-W09";"CH070";"Y55T59";"T";"P";3
"2021-W09";"CH070";"Y55T59";"F";"P";1
"2021-W09";"CH070";"Y55T59";"M";"P";2
"2021-W09";"CH070";"Y60T64";"T";"P";5
"2021-W09";"CH070";"Y60T64";"F";"P";2
"2021-W09";"CH070";"Y60T64";"M";"P";3
"2021-W09";"CH070";"Y65T69";"T";"P";3
"2021-W09";"CH070";"Y65T69";"F";"P";1
"2021-W09";"CH070";"Y65T69";"M";"P";2
"2021-W09";"CH070";"Y70T74";"T";"P";2
"2021-W09";"CH070";"Y70T74";"M";"P";2
"2021-W09";"CH070";"Y75T79";"T";"P";7
"2021-W09";"CH070";"Y75T79";"F";"P";7
"2021-W09";"CH070";"Y80T84";"T";"P";9
"2021-W09";"CH070";"Y80T84";"F";"P";3
"2021-W09";"CH070";"Y80T84";"M";"P";6
"2021-W09";"CH070";"Y85T89";"T";"P";10
"2021-W09";"CH070";"Y85T89";"F";"P";3
"2021-W09";"CH070";"Y85T89";"M";"P";7
"2021-W09";"CH070";"Y_GE90";"T";"P";13
"2021-W09";"CH070";"Y_GE90";"F";"P";9
"2021-W09";"CH070";"Y_GE90";"M";"P";4
"2021-W10";"CH";"_T";"T";"P";1246
"2021-W10";"CH";"_T";"F";"P";644
"2021-W10";"CH";"_T";"M";"P";602
"2021-W10";"CH";"Y0T4";"T";"P";3
"2021-W10";"CH";"Y0T4";"F";"P";3
"2021-W10";"CH";"Y10T14";"T";"P";1
"2021-W10";"CH";"Y10T14";"M";"P";1
"2021-W10";"CH";"Y15T19";"T";"P";1
"2021-W10";"CH";"Y15T19";"F";"P";1
